time_sec,x,y,theta_deg,left_dist,right_dist,front_dist
0.032,0.0,0.0,0.0,66.8,63.8,70.0
0.064,0.0041,0.0,0.0,70.2,71.7,67.1
0.096,0.0082,0.0,0.0,69.7,62.7,65.0
0.128,0.0124,0.0,0.0,63.4,65.0,70.8
0.16,0.0165,0.0,0.0,64.2,63.7,64.9
0.192,0.0205,0.0,0.0,69.3,57.4,59.9
0.224,0.0246,0.0,0.0,67.6,71.9,65.0
0.256,0.0287,0.0,0.0,54.7,67.1,72.5
0.288,0.0328,0.0,0.0,64.6,61.4,68.8
0.32,0.0369,0.0,0.0,70.8,74.1,63.7
0.352,0.0411,0.0,0.0,65.6,69.7,66.6
0.384,0.0452,0.0,0.0,67.0,60.3,73.5
0.416,0.0493,0.0,0.0,72.4,62.2,68.5
0.448,0.0534,0.0,0.0,71.0,66.0,69.8
0.48,0.0574,0.0,0.0,68.3,69.3,65.4
0.512,0.0615,0.0,0.0,62.7,67.1,63.6
0.544,0.0657,0.0,0.0,69.8,69.3,67.3
0.576,0.0698,0.0,0.0,69.3,64.0,67.0
0.608,0.0739,0.0,0.0,66.0,67.9,64.7
0.64,0.078,0.0,0.0,70.0,65.8,70.4
0.672,0.0821,0.0,0.0,58.0,62.9,65.2
0.704,0.0863,0.0,0.0,66.5,68.0,68.8
0.736,0.0904,0.0,0.0,70.1,62.5,71.4
0.768,0.0944,0.0,0.0,63.8,72.2,59.8
0.8,0.0985,0.0,0.0,64.5,66.5,67.0
0.832,0.1026,0.0,0.0,69.8,70.1,71.0
0.864,0.1067,0.0,0.0,68.8,69.0,64.2
0.896,0.1108,0.0,0.0,64.0,64.1,61.0
0.928,0.115,0.0,0.0,69.3,64.7,77.7
0.96,0.1191,0.0,0.0,75.1,68.0,71.8
0.992,0.1232,0.0,0.0,65.8,68.1,67.7
1.024,0.1273,0.0,0.0,60.4,65.0,71.6
1.056,0.1313,0.0,0.0,70.5,68.8,62.7
1.088,0.1354,0.0,0.0,65.1,66.5,70.9
1.12,0.1396,0.0,0.0,63.9,68.5,68.1
1.152,0.1437,0.0,0.0,57.6,65.6,72.8
1.184,0.1478,0.0,0.0,61.9,59.9,63.0
1.216,0.1519,0.0,0.0,62.8,73.3,68.4
1.248,0.156,0.0,0.0,75.6,62.1,67.7
1.28,0.1602,0.0,0.0,63.0,64.7,67.8
1.312,0.1643,0.0,0.0,76.0,59.6,61.1
1.344,0.1684,0.0,0.0,64.5,69.7,66.5
1.376,0.1724,0.0,0.0,69.7,69.9,74.5
1.408,0.1765,0.0,0.0,69.9,66.8,103.0
1.44,0.1766,-0.0,-8.77,56.1,58.8,115.9
1.472,0.1766,-0.0,-17.68,66.7,67.8,113.4
1.504,0.1766,-0.0,-26.58,66.6,67.2,105.3
1.536,0.1765,0.0,-35.35,63.9,69.4,105.6
1.568,0.1766,-0.0,-44.12,68.8,64.7,84.6
1.6,0.1766,-0.0,-53.03,64.0,76.0,81.4
1.632,0.1766,-0.0,-61.93,69.0,64.8,65.1
1.664,0.1775,-0.0021,-65.83,71.6,67.1,63.9
1.696,0.1783,-0.0043,-69.73,70.7,61.7,75.7
1.728,0.179,-0.0065,-73.48,68.1,67.9,86.8
1.76,0.179,-0.0065,-82.39,63.2,64.3,84.6
1.792,0.179,-0.0065,-91.3,67.1,69.9,82.2
1.824,0.179,-0.0065,-100.21,66.3,64.0,86.5
1.856,0.1789,-0.0065,-108.97,66.3,66.9,88.7
1.888,0.1789,-0.0065,-117.88,72.4,62.3,95.1
1.92,0.1789,-0.0065,-126.79,66.0,68.2,87.7
1.952,0.179,-0.0065,-135.56,67.8,66.7,74.6
1.984,0.1772,-0.008,-139.45,72.3,66.8,72.2
2.016,0.1754,-0.0094,-143.35,62.4,73.2,69.7
2.048,0.1734,-0.0106,-147.25,65.4,67.4,60.9
2.08,0.1714,-0.0117,-151.14,68.2,70.1,70.0
2.112,0.1693,-0.0127,-155.04,69.2,66.1,68.2
2.144,0.1671,-0.0136,-158.94,63.6,71.6,75.6
2.176,0.1649,-0.0142,-162.83,64.2,69.9,66.8
2.208,0.1627,-0.0148,-166.59,68.0,72.0,70.0
2.24,0.1604,-0.0151,-170.49,89.2,62.4,74.7
2.272,0.1581,-0.0154,-174.39,112.6,65.4,69.1
2.304,0.1558,-0.0154,-178.28,122.5,72.6,71.5
2.336,0.1535,-0.0154,-182.18,119.9,71.5,62.6
2.368,0.1512,-0.0151,-186.08,117.6,65.9,71.3
2.4,0.1489,-0.0147,-189.97,118.7,63.2,68.4
2.432,0.1466,-0.0141,-193.87,120.9,64.5,64.7
2.464,0.1444,-0.0134,-197.77,117.5,63.1,65.3
2.496,0.1423,-0.0126,-201.52,114.2,69.2,66.2
2.528,0.1403,-0.0116,-205.42,140.4,64.4,70.8
2.56,0.1382,-0.0105,-209.32,156.0,66.9,65.6
2.592,0.1363,-0.0092,-213.22,156.7,67.5,71.1
2.624,0.1344,-0.0078,-217.11,162.8,68.7,69.1
2.656,0.1327,-0.0063,-221.01,165.7,71.7,71.9
2.688,0.1311,-0.0047,-224.91,170.8,61.1,70.3
2.72,0.1295,-0.0029,-228.8,159.6,63.9,69.7
2.752,0.1282,-0.0011,-232.56,163.0,64.5,71.0
2.784,0.1269,0.0008,-236.46,172.5,66.4,66.8
2.816,0.1257,0.0028,-240.35,186.6,68.7,69.8
2.848,0.1247,0.0049,-244.25,192.4,67.2,68.9
2.88,0.1239,0.0071,-248.15,216.5,64.7,70.3
2.912,0.1232,0.0093,-252.05,208.8,71.4,75.6
2.944,0.1226,0.0115,-255.94,204.3,62.0,68.5
2.976,0.1222,0.0138,-259.84,213.4,78.1,68.1
3.008,0.1219,0.0161,-263.74,208.4,69.4,65.0
3.04,0.1218,0.0183,-267.49,196.9,65.2,66.9
3.072,0.1219,0.0207,-271.39,219.9,70.2,68.1
3.104,0.1221,0.023,-275.29,226.1,62.6,65.3
3.136,0.1225,0.0253,-279.18,212.0,68.1,65.4
3.168,0.123,0.0275,-283.08,219.2,67.5,69.5
3.2,0.1239,0.0315,-283.08,213.7,71.9,67.8
3.232,0.1246,0.0337,-286.98,204.0,71.6,65.1
3.264,0.1258,0.0377,-286.98,202.2,71.6,64.6
3.296,0.1266,0.0398,-290.74,221.5,67.2,61.3
